Heartbeat|datanode1|datanode2|datanode3|
____1____|    0    |    1    |    1    |
____2____|    0    |    1    |    1    |
____3____|    0    |    1    |    1    |
____4____|    1    |    1    |    1    |
____5____|    1    |    1    |    1    |
____6____|    1    |    1    |    1    |
____7____|    1    |    1    |    1    |
____8____|    1    |    1    |    1    |
____9____|    1    |    1    |    1    |
____10____|    1    |    1    |    1    |
____11____|    1    |    1    |    1    |
____12____|    1    |    1    |    1    |
____13____|    1    |    1    |    1    |
____14____|    1    |    1    |    1    |
____15____|    1    |    1    |    1    |
____16____|    1    |    1    |    1    |
____17____|    1    |    1    |    1    |
____18____|    1    |    1    |    1    |
____19____|    1    |    1    |    1    |
____20____|    1    |    1    |    1    |
